pais,valor_semana,dia_semana,voos_soma
Algeria,1,2,122.0
Algeria,1,3,110.0
Algeria,1,4,126.0
Algeria,1,5,119.0
Algeria,1,6,133.0
Algeria,2,0,121.0
Algeria,2,1,100.0
Algeria,2,2,120.0
Algeria,2,3,128.0
Algeria,2,4,134.0
Algeria,2,5,118.0
Algeria,2,6,130.0
Algeria,3,0,127.0
Algeria,3,1,114.0
Algeria,3,2,139.0
Algeria,3,3,152.0
Algeria,3,4,164.0
Algeria,3,5,144.0
Algeria,3,6,120.0
Algeria,4,0,141.0
Algeria,4,1,140.0
Algeria,4,2,148.0
Algeria,4,3,149.0
Algeria,4,4,161.0
Algeria,4,5,106.0
Algeria,4,6,116.0
Algeria,5,0,117.0
Algeria,5,1,174.0
Algeria,5,2,174.0
Algeria,5,3,177.0
Algeria,5,4,158.0
Algeria,5,5,145.0
Algeria,5,6,149.0
Algeria,6,0,172.0
Algeria,6,1,149.0
Algeria,6,2,120.0
Algeria,6,3,135.0
Algeria,6,4,106.0
Algeria,6,5,102.0
Algeria,6,6,97.0
Algeria,7,0,156.0
Algeria,7,1,129.0
Algeria,7,2,8.0
Algeria,7,3,10.0
Algeria,7,4,161.0
Algeria,7,5,72.0
Algeria,7,6,76.0
Algeria,8,0,25.0
Algeria,8,2,56.0
Algeria,8,3,110.0
Algeria,8,4,155.0
Algeria,8,5,212.0
Algeria,8,6,179.0
Algeria,9,0,193.0
Algeria,9,1,194.0
Algeria,9,2,96.0
Algeria,9,3,147.0
Algeria,9,4,123.0
Algeria,9,5,201.0
Algeria,9,6,133.0
Algeria,10,0,101.0
Algeria,10,1,98.0
Algeria,10,2,121.0
Algeria,10,3,166.0
Algeria,10,4,100.0
Algeria,10,5,100.0
Algeria,10,6,128.0
Algeria,11,0,104.0
Algeria,11,1,118.0
Algeria,11,2,143.0
Algeria,11,3,160.0
Algeria,11,4,136.0
Algeria,11,5,139.0
Algeria,11,6,121.0
Algeria,12,0,75.0
Algeria,12,1,71.0
Algeria,12,2,42.0
Algeria,12,3,37.0
Algeria,12,4,41.0
Algeria,12,5,29.0
Algeria,12,6,8.0
Algeria,13,0,15.0
Algeria,13,1,10.0
Algeria,13,2,7.0
Algeria,13,3,5.0
Algeria,13,4,10.0
Algeria,13,5,5.0
Algeria,13,6,9.0
Algeria,14,0,7.0
Algeria,14,1,6.0
Algeria,14,2,3.0
Algeria,14,3,9.0
Algeria,14,4,7.0
Algeria,14,5,7.0
Algeria,14,6,10.0
Algeria,15,0,3.0
Algeria,15,1,3.0
Algeria,15,2,17.0
Algeria,15,3,24.0
Algeria,15,4,5.0
Algeria,15,5,14.0
Algeria,15,6,12.0
Algeria,16,0,5.0
Algeria,16,1,3.0
Algeria,16,2,6.0
Algeria,16,3,18.0
Algeria,16,4,16.0
Algeria,16,5,17.0
Algeria,16,6,1.0
Algeria,17,1,1.0
Algeria,18,1,3.0
Algeria,18,2,15.0
Algeria,18,3,24.0
Algeria,18,4,8.0
Algeria,18,5,19.0
Algeria,18,6,13.0
Algeria,19,0,30.0
Algeria,19,1,24.0
Algeria,19,2,26.0
Algeria,19,3,24.0
Algeria,19,4,4.0
Algeria,19,6,5.0
Algeria,20,0,7.0
Algeria,20,1,14.0
Algeria,20,3,1.0
Algeria,20,4,10.0
Algeria,21,0,8.0
Algeria,21,1,21.0
Algeria,21,2,29.0
Algeria,21,3,12.0
Algeria,21,4,9.0
Algeria,21,5,7.0
Algeria,21,6,2.0
Algeria,22,0,1.0
Algeria,22,1,18.0
Algeria,22,2,32.0
Algeria,22,3,44.0
Argentina,1,2,340.0
Argentina,1,3,387.0
Argentina,1,4,426.0
Argentina,1,5,445.0
Argentina,1,6,41.0
Argentina,2,0,12.0
Argentina,2,1,10.0
Argentina,2,2,11.0
Argentina,2,3,7.0
Argentina,2,4,16.0
Argentina,2,5,13.0
Argentina,2,6,17.0
Argentina,3,0,11.0
Argentina,3,1,161.0
Argentina,3,2,394.0
Argentina,3,3,448.0
Argentina,3,4,459.0
Argentina,3,5,371.0
Argentina,3,6,409.0
Argentina,4,0,426.0
Argentina,4,1,391.0
Argentina,4,2,398.0
Argentina,4,3,429.0
Argentina,4,4,466.0
Argentina,4,5,425.0
Argentina,4,6,395.0
Argentina,5,0,443.0
Argentina,5,1,424.0
Argentina,5,2,398.0
Argentina,5,3,424.0
Argentina,5,4,423.0
