Country,Output-Response-Total cases rate after,Output-Response-Total deaths rate after,Output-CLI percent impact,Output-PMI-ind percent impact,Output-PMI-serv percent impact,Output-PMI-comp percent impact,Average Temperature April,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Day10thDeath,GDP per capita (current US$),"International tourism, number of arrivals","Life expectancy at birth, total (years)",Population,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Prevalence of undernourishment (% of population),Urban population (% of total population),Input-Response-Stringency Index,Input-Response-automotive pollution percent,Input-Response-mobility retail and recreation percent,Input-Response-mobility grocery and pharmacy percent,Input-Response-mobility parks percent,Input-Response-mobility transit stations percent,Input-Response-mobility workplaces percent,Input-Response-mobility residential percent,Continent
Afghanistan,1.0807229692870388,1.1159110629789903,,,,,16.14,36.4,44.1,10.2,57.25,99.0,520.9,,64.13,37172386.0,43.09,54.32,2.58,56.94,10.79,62.7,29.8,25.5,72.36,,44.857142857142854,26.428571428571427,11.714285714285714,46.142857142857146,36.142857142857146,-13.0,Asia  
Albania,1.0700383561666464,1.088478561177457,,,,,12.43,2.9,93.1,6.7,271.54,89.0,5268.85,5340000.0,78.33,2866376.0,17.67,68.58,13.74,104.61,,,6.2,60.32,84.39,,,,,,,,Europe
Algeria,1.1794762558421155,1.184286087735101,,,,,24.12,14.8,75.7,6.65,260.41,81.0,4114.72,2657000.0,76.5,42228429.0,30.15,63.49,6.36,17.73,6.38,11.8,3.9,72.63,47.82857142857142,,,,,,,,Africa
Andorra,1.039689866245736,1.0993380515472166,,,,,10.82,,,10.37,3834.73,92.0,42029.76,3042000.0,,77006.0,,,,163.84,,,,88.06,53.43,,,,,,,,Europe
Argentina,1.0947761833099954,1.1563581530281992,,,,,15.07,15.9,77.6,7.55,955.2,87.0,11683.95,6942000.0,76.37,44494502.0,24.76,64.12,11.12,16.26,43.01,16.7,4.6,91.87,100.0,53.726577092245584,79.50857142857144,53.53142857142857,81.86857142857143,82.22857142857143,60.62285714285714,-27.73142857142857,Americas
Australia,1.1692995532598718,1.0829912819422458,3.599704808973172,,,,22.34,4.6,89.5,9.25,5002.36,86.0,57373.69,9246000.0,82.5,24982688.0,19.19,65.15,15.66,3.25,60.87,,2.5,86.01,39.120000000000005,-24.501123971511483,8.666666666666668,-22.412698412698408,10.555555555555555,16.92063492063492,-3.952380952380953,-3.888888888888889,Oceania
Austria,1.0988558754464925,1.2164161067183221,4.747321352820364,,,,8.24,2.6,92.2,10.44,4688.28,83.0,51461.95,30816000.0,81.64,8840521.0,14.3,66.7,19.0,107.21,21.48,,2.5,58.3,84.79,70.2275600505689,82.79999999999998,38.51428571428572,49.75714285714285,70.55714285714286,58.31428571428571,-23.57619047619048,Europe
Azerbaijan,1.0871052303127238,1.0629350704110543,,,,,11.53,8.8,86.6,6.89,268.16,102.0,4721.18,2633000.0,72.69,9939800.0,23.37,70.44,6.2,120.27,22.99,,2.5,55.68,90.08000000000001,,,,,,,,Asia  
Bahamas,1.0501736410152307,1.0331938343738771,,,,,24.86,16.9,73.9,6.38,1835.23,115.0,32217.87,1633000.0,73.55,385640.0,22.48,70.26,7.26,38.53,,,,83.03,,,75.0,51.285714285714285,61.0,90.0,73.71428571428571,-34.285714285714285,Americas
Bahrain,1.064964842302371,1.026455199651044,,,,,26.5,6.9,83.0,4.87,1099.36,,24050.76,12045000.0,77.03,1569439.0,19.25,78.32,2.43,2017.27,,,,89.29,86.77,,39.857142857142854,15.857142857142858,42.714285714285715,36.57142857142857,24.285714285714285,-16.428571428571427,Asia  
Bangladesh,1.1499148715367016,1.1046650785974952,,,,,28.32,25.6,66.9,2.37,34.22,98.0,1698.26,1026000.0,72.05,161356039.0,27.71,67.14,5.16,1239.58,15.12,55.1,14.7,36.63,86.77428571428572,,69.42857142857143,46.285714285714285,28.0,66.28571428571429,56.857142857142854,-23.428571428571427,Asia  
