pais,valor_semana,dia_semana,voos_soma,jan_mean,pct_loss,continent
Algeria,5,0,117.0,130.07692307692307,0.10053222945002949,Africa
Algeria,5,1,174.0,130.07692307692307,-0.33767001774098176,Africa
Algeria,5,2,174.0,130.07692307692307,-0.33767001774098176,Africa
Algeria,5,3,177.0,130.07692307692307,-0.3607332939089297,Africa
Algeria,5,4,158.0,130.07692307692307,-0.21466587817859265,Africa
Algeria,5,5,145.0,130.07692307692307,-0.11472501478415148,Africa
Algeria,5,6,149.0,130.07692307692307,-0.14547604967474875,Africa
Algeria,6,0,172.0,130.07692307692307,-0.32229450029568313,Africa
Algeria,6,1,149.0,130.07692307692307,-0.14547604967474875,Africa
Algeria,6,2,120.0,130.07692307692307,0.07746895328208153,Africa
Algeria,6,3,135.0,130.07692307692307,-0.03784742755765828,Africa
Algeria,6,4,106.0,130.07692307692307,0.18509757539917202,Africa
Algeria,6,5,102.0,130.07692307692307,0.2158486102897693,Africa
Algeria,6,6,97.0,130.07692307692307,0.2542874039030159,Africa
Algeria,7,0,156.0,130.07692307692307,-0.199290360733294,Africa
Algeria,7,1,129.0,130.07692307692307,0.008279124778237645,Africa
Algeria,7,2,8.0,130.07692307692307,0.9384979302188055,Africa
Algeria,7,3,10.0,130.07692307692307,0.9231224127735068,Africa
Algeria,7,4,161.0,130.07692307692307,-0.2377291543465406,Africa
Algeria,7,5,72.0,130.07692307692307,0.4464813719692489,Africa
Algeria,7,6,76.0,130.07692307692307,0.41573033707865165,Africa
Algeria,8,0,25.0,130.07692307692307,0.807806031933767,Africa
Algeria,8,2,56.0,130.07692307692307,0.5694855115316381,Africa
Algeria,8,3,110.0,130.07692307692307,0.15434654050857474,Africa
Algeria,8,4,155.0,130.07692307692307,-0.1916026020106447,Africa
Algeria,8,5,212.0,130.07692307692307,-0.6298048492016559,Africa
Algeria,8,6,179.0,130.07692307692307,-0.37610881135422836,Africa
Algeria,9,0,193.0,130.07692307692307,-0.48373743347131887,Africa
Algeria,9,1,194.0,130.07692307692307,-0.4914251921939682,Africa
Algeria,9,2,96.0,130.07692307692307,0.2619751626256652,Africa
Algeria,9,3,147.0,130.07692307692307,-0.13010053222945012,Africa
Algeria,9,4,123.0,130.07692307692307,0.05440567711413357,Africa
Algeria,9,5,201.0,130.07692307692307,-0.5452395032525135,Africa
Algeria,9,6,133.0,130.07692307692307,-0.022471910112359637,Africa
