Country Name;2018
Afghanistan;19362969582
Angola;1.06E+11
Albania;15102500898
Andorra;3236543909
Arab World;2.77E+12
United Arab Emirates;4.14E+11
Argentina;5.20E+11
Armenia;12433089919
American Samoa;636000000
Antigua and Barbuda;1610574074
Australia;1.43E+12
Austria;4.55E+11
Azerbaijan;46939529412
Burundi;3036931818
Belgium;5.43E+11
Benin;10354274635
Burkina Faso;14124775069
Bangladesh;2.74E+11
Bulgaria;65132951116
Bahrain;37746196809
Bahamas, The;12424500000
Bosnia and Herzegovina;20161865419
Belarus;59662495092
Belize;1871203164
Bermuda;
Bolivia;40287647757
Brazil;1.87E+12
Barbados;5145000000
Brunei Darussalam;13567351175
Bhutan;2446674101
Botswana;18616018903
Central African Republic;2219894702
Canada;1.71E+12
Central Europe and the Baltics;1.63E+12
Switzerland;7.05E+11
Channel Islands;
Chile;2.98E+11
China;1.36E+13
Cote d'Ivoire;43007047822
Cameroon;38675205293
Congo, Dem. Rep.;47227535291
Congo, Rep.;11263682694
Colombia;3.31E+11
Comoros;1177955049
Cabo Verde;1976814277
Costa Rica;60130106116
Caribbean small states;73523538155
Cuba;1.00E+11
Curacao;3127908038
Cayman Islands;
Cyprus;24961988663
Czech Republic;2.45E+11
Germany;3.95E+12
Djibouti;2955912228
Dominica;550892592.6
Denmark;3.56E+11
Dominican Republic;85555390387
Algeria;1.74E+11
East Asia & Pacific (excluding high income);1.63E+13
Early-demographic dividend;1.16E+13
East Asia & Pacific;2.59E+13
Europe & Central Asia (excluding high income);3.41E+12
Europe & Central Asia;2.31E+13
Ecuador;1.08E+11
Egypt, Arab Rep.;2.51E+11
Euro area;1.36E+13
Eritrea;
Spain;1.42E+12
Estonia;30732144529
Ethiopia;84355604753
European Union;1.88E+13
Fragile and conflict affected situations;8.41E+11
Finland;2.77E+11
Fiji;5536759659
France;2.78E+12
Faroe Islands;
Micronesia, Fed. Sts.;401932279
Gabon;16853589311
United Kingdom;2.86E+12
Georgia;17599660629
Ghana;65556464048
Gibraltar;
Guinea;10907214994
Gambia, The;1632823199
Guinea-Bissau;1458156026
Equatorial Guinea;13432377050
Greece;2.18E+11
Grenada;1185925926
Greenland;
Guatemala;78460447920
Guam;5920000000
Guyana;3878662621
High income;5.42E+13
Hong Kong SAR, China;3.63E+11
Honduras;23969890431
Heavily indebted poor countries (HIPC);7.29E+11
Croatia;60971699315
Haiti;9658721169
Hungary;1.58E+11
IBRD only;3.05E+13
IDA & IBRD total;3.27E+13
IDA total;2.23E+12
IDA blend;9.94E+11
Indonesia;1.04E+12
IDA only;1.24E+12
Isle of Man;
India;2.72E+12
Not classified;
Ireland;3.82E+11
Iran, Islamic Rep.;
Iraq;2.24E+11
Iceland;25878475760
Israel;3.71E+11
Italy;2.08E+12
Jamaica;15713908816
Jordan;42231295775
Japan;4.97E+12
Kazakhstan;1.79E+11
Kenya;87908262520
Kyrgyz Republic;8092836609
Cambodia;24542474061
Kiribati;188284518.8
St. Kitts and Nevis;1010822222
Korea, Rep.;1.62E+12
Kuwait;1.41E+11
Latin America & Caribbean (excluding high income);5.20E+12
Lao PDR;17953786416
Lebanon;56639155556
Liberia;3264000000
Libya;48364208571
St. Lucia;1921848222
Latin America & Caribbean;5.80E+12
Least developed countries: UN classification;1.06E+12
Low income;5.88E+11
Liechtenstein;
Sri Lanka;88900770858
Lower middle income;6.70E+12
Low & middle income;3.17E+13
Lesotho;2738786278
Late-demographic dividend;2.22E+13
Lithuania;53429066429
Luxembourg;70885325883
Latvia;34409229178
