Name,variable,value,score
Aruba,Population,105845.00,1.00
Afghanistan,Population,37172386.00,9.00
Angola,Population,30809762.00,8.00
Albania,Population,2866376.00,4.00
Andorra,Population,77006.00,1.00
United Arab Emirates,Population,9630959.00,6.00
Argentina,Population,44494502.00,9.00
Armenia,Population,2951776.00,4.00
Antigua and Barbuda,Population,96286.00,1.00
Australia,Population,24982688.00,8.00
Austria,Population,8840521.00,6.00
Azerbaijan,Population,9939800.00,6.00
Burundi,Population,11175378.00,6.00
Belgium,Population,11433256.00,7.00
Benin,Population,11485048.00,7.00
Burkina Faso,Population,19751535.00,8.00
Bangladesh,Population,161356039.00,10.00
Bulgaria,Population,7025037.00,5.00
Bahrain,Population,1569439.00,3.00
Bahamas,Population,385640.00,2.00
Bosnia and Herzegovina,Population,3323929.00,4.00
Belarus,Population,9483499.00,6.00
Belize,Population,383071.00,2.00
Bermuda,Population,63973.00,1.00
Bolivia,Population,11353142.00,7.00
Brazil,Population,209469333.00,10.00
Barbados,Population,286641.00,2.00
Brunei,Population,428962.00,2.00
Bhutan,Population,754394.00,2.00
Botswana,Population,2254126.00,3.00
Central African Republic,Population,4666377.00,4.00
Canada,Population,37057765.00,9.00
Switzerland,Population,8513227.00,6.00
Chile,Population,18729160.00,7.00
China,Population,1392730000.00,10.00
Cote d'Ivoire,Population,25069229.00,8.00
Cameroon,Population,25216237.00,8.00
Democratic Republic of Congo,Population,84068091.00,10.00
Congo,Population,5244363.00,5.00
Colombia,Population,49648685.00,9.00
Cape Verde,Population,543767.00,2.00
Costa Rica,Population,4999441.00,5.00
Cuba,Population,11338138.00,7.00
Curacao,Population,159800.00,2.00
Cayman Islands,Population,64174.00,1.00
Cyprus,Population,1189265.00,3.00
Czech Republic,Population,10629928.00,6.00
Germany,Population,82905782.00,10.00
Djibouti,Population,958920.00,3.00
Dominica,Population,71625.00,1.00
Denmark,Population,5793636.00,5.00
Dominican Republic,Population,10627165.00,6.00
Algeria,Population,42228429.00,9.00
Ecuador,Population,17084357.00,7.00
Egypt,Population,98423595.00,10.00
Eritrea,Population,3213972.00,4.00
Spain,Population,46796540.00,9.00
Estonia,Population,1321977.00,3.00
Ethiopia,Population,109224559.00,10.00
Finland,Population,5515525.00,5.00
Fiji,Population,883483.00,3.00
France,Population,66977107.00,9.00
Faeroe Islands,Population,48497.00,1.00
Gabon,Population,2119275.00,3.00
United Kingdom,Population,66460344.00,9.00
Georgia,Population,3726549.00,4.00
Ghana,Population,29767108.00,8.00
Gibraltar,Population,33718.00,1.00
Guinea,Population,12414318.00,7.00
Gambia,Population,2280102.00,3.00
Guinea-Bissau,Population,1874309.00,3.00
Equatorial Guinea,Population,1308974.00,3.00
Greece,Population,10731726.00,6.00
Grenada,Population,111454.00,2.00
Greenland,Population,56025.00,1.00
Guatemala,Population,17247807.00,7.00
Guam,Population,165768.00,2.00
Guyana,Population,779004.00,3.00
Honduras,Population,9587522.00,6.00
Croatia,Population,4087843.00,4.00
Haiti,Population,11123176.00,6.00
Hungary,Population,9775564.00,6.00
Indonesia,Population,267663435.00,10.00
Isle of Man,Population,84077.00,1.00
India,Population,1352617328.00,10.00
Ireland,Population,4867309.00,5.00
Iran,Population,81800269.00,10.00
Iraq,Population,38433600.00,9.00
Iceland,Population,352721.00,2.00
Israel,Population,8882800.00,6.00
Italy,Population,60421760.00,9.00
Jamaica,Population,2934855.00,4.00
Jordan,Population,9956011.00,6.00
Japan,Population,126529100.00,10.00
Kazakhstan,Population,18272430.00,7.00
Kenya,Population,51393010.00,9.00
Kyrgyzstan,Population,6322800.00,5.00
Cambodia,Population,16249798.00,7.00
Saint Kitts and Nevis,Population,52441.00,1.00
South Korea,Population,51606633.00,9.00
Kuwait,Population,4137309.00,4.00
Laos,Population,7061507.00,5.00
Lebanon,Population,6848925.00,5.00
Liberia,Population,4818977.00,4.00
Libya,Population,6678567.00,5.00
Saint Lucia,Population,181889.00,2.00
Liechtenstein,Population,37910.00,1.00
Sri Lanka,Population,21670000.00,8.00
Lithuania,Population,2801543.00,4.00
Luxembourg,Population,607950.00,2.00
Latvia,Population,1927174.00,3.00
Morocco,Population,36029138.00,8.00
Monaco,Population,38682.00,1.00
Moldova,Population,2706049.00,4.00
Madagascar,Population,26262368.00,8.00
Maldives,Population,515696.00,2.00
Mexico,Population,126190788.00,10.00
Macedonia,Population,2082958.00,3.00
Mali,Population,19077690.00,8.00
Malta,Population,484630.00,2.00
Myanmar,Population,53708395.00,9.00
Montenegro,Population,622227.00,2.00
Mongolia,Population,3170208.00,4.00
Mariana Islands,Population,56882.00,1.00
Mozambique,Population,29495962.00,8.00
Mauritania,Population,4403319.00,4.00
Mauritius,Population,1265303.00,3.00
Malaysia,Population,31528585.00,8.00
Namibia,Population,2448255.00,4.00
