,org,dest,valor_norm
0,Algeria,Austria,1.0
1,Algeria,Belgium,1.2755102040816326
2,Algeria,Canada,1.0
3,Algeria,France,12.272727272727273
4,Algeria,Germany,1.5603448275862069
5,Algeria,Italy,2.4601769911504423
6,Algeria,Morocco,1.2941176470588236
7,Algeria,Portugal,1.0
8,Algeria,Qatar,1.013157894736842
9,Algeria,Russia,1.0
10,Algeria,Senegal,1.1285714285714286
11,Algeria,Spain,4.651315789473684
12,Algeria,Switzerland,1.1688311688311688
13,Algeria,Thailand,1.0
14,Algeria,Turkey,1.0
15,Algeria,Ukraine,1.0
16,Algeria,United Arab Emirates,1.3611111111111112
17,Algeria,United Kingdom,1.4495412844036697
18,Argentina,Australia,1.25
19,Argentina,Bolivia,1.8727272727272728
20,Argentina,Brazil,13.577405857740585
21,Argentina,Canada,1.1666666666666667
22,Argentina,Colombia,2.0084745762711864
23,Argentina,Costa Rica,1.0
24,Argentina,Dominican Republic,1.25
25,Argentina,France,1.053191489361702
26,Argentina,Germany,1.0
27,Argentina,Italy,1.683673469387755
28,Argentina,Mexico,1.125
29,Argentina,Netherlands,1.0520833333333333
30,Argentina,New Zealand,1.1666666666666667
31,Argentina,Spain,4.484126984126984
32,Argentina,Switzerland,1.0
33,Argentina,United Kingdom,1.6122448979591837
34,Argentina,United States,7.152380952380953
35,Armenia,Austria,1.0151515151515151
36,Armenia,Belarus,1.0
37,Armenia,Belgium,1.0
38,Armenia,Czech Republic,1.0
39,Armenia,France,1.0
40,Armenia,Germany,1.3333333333333333
41,Armenia,Greece,1.0
42,Armenia,Ireland,1.0
43,Armenia,Israel,1.0
44,Armenia,Italy,1.9
45,Armenia,Kazakhstan,1.0
46,Armenia,Latvia,1.0
47,Armenia,Poland,1.0
48,Armenia,Qatar,1.0571428571428572
49,Armenia,Romania,1.0
50,Armenia,Russia,10.853982300884956
51,Armenia,Serbia,1.0
52,Armenia,Sweden,1.0
53,Armenia,Switzerland,1.0
54,Armenia,Ukraine,1.2592592592592593
55,Armenia,United Arab Emirates,1.7328244274809161
56,Australia,Argentina,1.25
57,Australia,Brazil,1.0
58,Australia,Canada,2.627659574468085
59,Australia,China,2.032258064516129
60,Australia,France,1.1666666666666667
61,Australia,French Polynesia,1.0
62,Australia,Germany,1.0
63,Australia,Hong Kong,10.288590604026846
64,Australia,India,1.3125
65,Australia,Indonesia,2.5172413793103448
66,Australia,Italy,1.0
67,Australia,Japan,3.5598290598290596
68,Australia,Macau,1.0
69,Australia,Malaysia,11.42517006802721
70,Australia,New Zealand,34.24662162162162
71,Australia,Philippines,4.3311688311688314
72,Australia,Qatar,4.533557046979865
73,Australia,Russia,1.0
74,Australia,Saudi Arabia,1.0
75,Australia,Singapore,21.618055555555557
76,Australia,South Africa,1.125
77,Australia,South Korea,3.17816091954023
78,Australia,Sri Lanka,1.082191780821918
79,Australia,Sweden,1.0
80,Australia,Taiwan,2.7535211267605635
81,Australia,Thailand,6.195402298850575
82,Australia,United Arab Emirates,6.209302325581396
83,Australia,United Kingdom,1.480263157894737
84,Australia,United States,15.533557046979865
85,Austria,Algeria,1.0
86,Austria,Armenia,1.0151515151515151
87,Austria,Bangladesh,1.0
88,Austria,Belarus,1.3795180722891567
89,Austria,Belgium,4.070833333333334
90,Austria,Canada,1.5267857142857142
91,Austria,China,1.0
92,Austria,Croatia,2.9827586206896552
93,Austria,Czech Republic,2.8974358974358974
94,Austria,Denmark,6.753164556962025
95,Austria,Estonia,1.3625
96,Austria,Finland,2.1621621621621623
97,Austria,France,9.461904761904762
98,Austria,Germany,50.624161073825505
99,Austria,Greece,3.1623376623376624
100,Austria,Hong Kong,1.0
101,Austria,Hungary,2.13953488372093
102,Austria,Iceland,1.0952380952380953
103,Austria,India,1.0555555555555556
104,Austria,Ireland,2.2
105,Austria,Israel,4.131944444444445
106,Austria,Italy,11.970238095238095
107,Austria,Japan,1.0263157894736843
108,Austria,Latvia,2.1474358974358974
109,Austria,Luxembourg,3.3392857142857144
110,Austria,Malta,1.1911764705882353
111,Austria,Morocco,1.0
112,Austria,Netherlands,11.981481481481481
113,Austria,Norway,2.9224137931034484
114,Austria,Poland,6.12
115,Austria,Portugal,3.592391304347826
116,Austria,Qatar,1.9690265486725664
117,Austria,Romania,3.1194029850746268
118,Austria,Russia,7.878504672897196
119,Austria,Saudi Arabia,1.0
120,Austria,Serbia,1.8333333333333333
121,Austria,Slovakia,1.5238095238095237
122,Austria,South Africa,1.1666666666666667
123,Austria,South Korea,1.1521739130434783
124,Austria,Spain,10.582417582417582
125,Austria,Sweden,4.9423076923076925
126,Austria,Switzerland,14.166666666666666
127,Austria,Taiwan,1.3793103448275863
128,Austria,Thailand,2.486666666666667
129,Austria,Turkey,3.247311827956989
130,Austria,Ukraine,4.119318181818182
131,Austria,United Arab Emirates,2.5754716981132075
132,Austria,United Kingdom,21.76595744680851
133,Austria,United States,3.0547945205479454
134,Bahrain,Bangladesh,1.42
135,Bahrain,France,1.0273972602739727
136,Bahrain,Germany,2.3214285714285716
137,Bahrain,Greece,1.0
138,Bahrain,Hong Kong,1.921875
139,Bahrain,India,6.447115384615385
140,Bahrain,Italy,1.1944444444444444
141,Bahrain,Luxembourg,1.0
142,Bahrain,Morocco,1.0
143,Bahrain,Netherlands,1.0
144,Bahrain,Philippines,1.0
145,Bahrain,Qatar,1.6219512195121952
146,Bahrain,Russia,1.3028169014084507
147,Bahrain,Saudi Arabia,5.423357664233577
148,Bahrain,Singapore,1.0
149,Bahrain,Spain,1.0
150,Bahrain,Sri Lanka,1.5833333333333333
151,Bahrain,Thailand,1.3979591836734695
152,Bahrain,Turkey,1.6323529411764706
153,Bahrain,United Arab Emirates,12.03020134228188
154,Bahrain,United Kingdom,2.393162393162393
155,Bahrain,United States,1.0833333333333333
156,Bangladesh,Austria,1.0
157,Bangladesh,Bahrain,1.42
158,Bangladesh,Germany,1.0
159,Bangladesh,Hong Kong,1.16
160,Bangladesh,India,4.5
161,Bangladesh,Malaysia,2.130434782608696
162,Bangladesh,Qatar,2.25531914893617
163,Bangladesh,Saudi Arabia,2.0854700854700856
164,Bangladesh,Singapore,1.5942028985507246
165,Bangladesh,Sri Lanka,1.0125
166,Bangladesh,Thailand,1.5
167,Bangladesh,Turkey,1.0
168,Bangladesh,Ukraine,1.0
169,Bangladesh,United Arab Emirates,3.9748427672955975
170,Bangladesh,United Kingdom,1.125
171,Barbados,Brazil,1.2
172,Barbados,Canada,2.037878787878788
173,Barbados,Colombia,1.0
174,Barbados,Dominican Republic,1.0
175,Barbados,France,1.0
176,Barbados,Germany,2.25
177,Barbados,Portugal,1.0
178,Barbados,Puerto Rico,1.0
179,Barbados,Spain,1.0
180,Barbados,United Kingdom,3.054054054054054
181,Barbados,United States,5.80225988700565
182,Belarus,Armenia,1.0
183,Belarus,Austria,1.3795180722891567
184,Belarus,Belgium,1.0
185,Belarus,Czech Republic,1.0053191489361701
186,Belarus,Denmark,1.0
187,Belarus,Estonia,1.0076923076923077
188,Belarus,Finland,1.030612244897959
189,Belarus,France,1.0833333333333333
190,Belarus,Germany,3.0952380952380953
191,Belarus,Hungary,1.088235294117647
192,Belarus,India,1.0
193,Belarus,Israel,1.0
194,Belarus,Italy,1.0945945945945945
195,Belarus,Kazakhstan,1.0
196,Belarus,Latvia,1.2992700729927007
197,Belarus,Netherlands,1.008
198,Belarus,Philippines,1.0
199,Belarus,Poland,1.9507042253521127
200,Belarus,Russia,16.655
201,Belarus,Serbia,1.1363636363636365
202,Belarus,Spain,1.0
203,Belarus,Sweden,1.0104166666666667
204,Belarus,Switzerland,1.0
205,Belarus,Turkey,1.0
206,Belarus,Ukraine,4.491935483870968
207,Belarus,United Arab Emirates,1.0
208,Belarus,United Kingdom,1.09375
209,Belgium,Algeria,1.2755102040816326
210,Belgium,Armenia,1.0
211,Belgium,Austria,4.070833333333334
212,Belgium,Belarus,1.0
213,Belgium,Brazil,1.0
214,Belgium,Canada,1.05
215,Belgium,China,1.125
216,Belgium,Colombia,1.0
217,Belgium,Croatia,1.730263157894737
218,Belgium,Czech Republic,3.9324324324324325
219,Belgium,Denmark,4.8125
220,Belgium,Dominican Republic,1.0
221,Belgium,Estonia,1.5892857142857142
222,Belgium,Finland,2.22972972972973
223,Belgium,France,11.985401459854014
224,Belgium,Germany,18.06711409395973
225,Belgium,Greece,2.2342857142857144
226,Belgium,Hong Kong,1.6569767441860466
227,Belgium,Hungary,3.70873786407767
228,Belgium,Iceland,1.5730337078651686
229,Belgium,India,1.1428571428571428
230,Belgium,Indonesia,1.0
231,Belgium,Ireland,3.514705882352941
232,Belgium,Israel,2.6325301204819276
233,Belgium,Italy,13.5
234,Belgium,Japan,1.0
235,Belgium,Latvia,1.911764705882353
236,Belgium,Luxembourg,1.0
237,Belgium,Malta,1.7328767123287672
238,Belgium,Morocco,2.929936305732484
239,Belgium,Netherlands,3.279166666666667
240,Belgium,Norway,3.363013698630137
241,Belgium,Poland,5.366935483870968
242,Belgium,Portugal,5.904
243,Belgium,Qatar,3.5874125874125875
244,Belgium,Romania,2.28125
245,Belgium,Russia,3.1869565217391305
246,Belgium,Saudi Arabia,1.1666666666666667
247,Belgium,Senegal,1.1612903225806452
248,Belgium,Serbia,1.0666666666666667
249,Belgium,Singapore,1.0
250,Belgium,Slovakia,1.15625
251,Belgium,South Africa,1.1333333333333333
252,Belgium,South Korea,1.0
253,Belgium,Spain,15.072992700729927
254,Belgium,Sweden,6.321428571428571
255,Belgium,Switzerland,8.442307692307692
256,Belgium,Thailand,1.0087719298245614
257,Belgium,Turkey,2.7991803278688523
258,Belgium,Ukraine,1.3541666666666667
259,Belgium,United Arab Emirates,2.612781954887218
260,Belgium,United Kingdom,14.322916666666666
261,Belgium,United States,7.748322147651007
262,Bolivia,Argentina,1.8727272727272728
263,Bolivia,Brazil,1.8633093525179856
264,Bolivia,Colombia,1.0140845070422535
265,Bolivia,Costa Rica,1.0
266,Bolivia,Dominican Republic,1.0
267,Bolivia,Italy,1.0
268,Bolivia,Spain,1.2407407407407407
269,Bolivia,United States,1.5741935483870968
270,Brazil,Argentina,13.577405857740585
271,Brazil,Australia,1.0
272,Brazil,Barbados,1.2
273,Brazil,Belgium,1.0
274,Brazil,Bolivia,1.8633093525179856
275,Brazil,Canada,1.5898876404494382
276,Brazil,Colombia,3.1648351648351647
277,Brazil,Costa Rica,1.0
278,Brazil,Dominican Republic,2.4642857142857144
279,Brazil,France,3.4278350515463916
280,Brazil,Germany,2.573394495412844
281,Brazil,Israel,1.0
282,Brazil,Italy,2.994186046511628
283,Brazil,Luxembourg,1.0862068965517242
284,Brazil,Mexico,1.0
285,Brazil,Morocco,1.0
286,Brazil,Netherlands,1.8101851851851851
287,Brazil,Portugal,5.686274509803922
288,Brazil,Qatar,1.0542168674698795
289,Brazil,Senegal,1.3582089552238805
290,Brazil,South Africa,1.6
291,Brazil,South Korea,1.0
292,Brazil,Spain,4.247126436781609
293,Brazil,Switzerland,1.267605633802817
294,Brazil,Turkey,1.0
295,Brazil,United Arab Emirates,1.5174418604651163
296,Brazil,United Kingdom,3.0114942528735633
297,Brazil,United States,17.936241610738254
298,Canada,Algeria,1.0
299,Canada,Argentina,1.1666666666666667
300,Canada,Australia,2.627659574468085
301,Canada,Austria,1.5267857142857142
302,Canada,Barbados,2.037878787878788
303,Canada,Belgium,1.05
304,Canada,Brazil,1.5898876404494382
305,Canada,China,1.6333333333333333
306,Canada,Colombia,1.2692307692307692
307,Canada,Costa Rica,2.638888888888889
