source,target,prob
Algeria,Argentina,0.0003002326803272537
Argentina,Algeria,0.00016635821081744263
Algeria,Austria,0.007768520603467687
Austria,Algeria,0.0005898713111670902
Algeria,Belgium,0.01685055918336711
Belgium,Algeria,0.0016421382175668556
Algeria,Brazil,0.0012009307213090145
Brazil,Algeria,0.00032475770030953476
Algeria,Canada,0.01478645950611724
Canada,Algeria,0.0008012690148865208
Algeria,France,0.5530285971628013
France,Algeria,0.015934738508518863
Algeria,Germany,0.035990392554229526
Germany,Algeria,0.00056124736202035
Algeria,Greece,0.00037529085040906697
Greece,Algeria,4.8467458948062255e-05
Algeria,Hungary,0.002176686932372589
Hungary,Algeria,0.0004287213754564404
Algeria,India,0.00041281993544997375
India,Algeria,5.331523846452114e-05
Algeria,Indonesia,0.0005629362756136006
Indonesia,Algeria,0.00044752073512739415
Algeria,Israel,0.0002251745102454402
Israel,Algeria,5.0556969278215004e-05
Algeria,Italy,0.06252345567815057
Italy,Algeria,0.0016644470708828663
Algeria,Japan,7.50581700818134e-05
Japan,Algeria,8.970017715784987e-06
Algeria,Jordan,7.50581700818134e-05
Jordan,Algeria,0.00035229874933943975
Algeria,Kazakhstan,7.50581700818134e-05
Kazakhstan,Algeria,9.216165153679556e-05
Algeria,Lebanon,0.004353373864745178
Lebanon,Algeria,0.004206861536229783
Algeria,Luxembourg,0.00011258725512272012
Luxembourg,Algeria,4.027007798971771e-05
Algeria,Malaysia,0.00018764542520453349
Malaysia,Algeria,3.636866185145584e-05
Algeria,Mali,0.0013135179764317345
Mali,Algeria,0.04441624365482233
Algeria,Malta,0.00026270359528634694
Malta,Algeria,0.00012758589264558456
Algeria,Mauritania,0.0008256398708999475
Mauritania,Algeria,0.09166666666666667
Algeria,Morocco,0.008931922239735796
Morocco,Algeria,0.010111309372079194
Algeria,Norway,0.00011258725512272012
Norway,Algeria,1.8020507337349906e-05
Algeria,Pakistan,0.00011258725512272012
Pakistan,Algeria,0.0013071895424836603
Algeria,Philippines,0.000375290850409067
Philippines,Algeria,0.00010084609876866915
Algeria,Portugal,0.007017938902649553
Portugal,Algeria,0.0005703306087593023
Algeria,Qatar,0.018126548074757935
Qatar,Algeria,0.0032171688913755904
Algeria,Russia,0.0032650303985588833
Russia,Algeria,0.0002436442457950363
Algeria,Saudi Arabia,0.0034151467387225094
Saudi Arabia,Algeria,0.0011615439599714083
Algeria,Senegal,0.01579974480222172
Senegal,Algeria,0.02875879499965845
Algeria,Serbia,7.50581700818134e-05
Serbia,Algeria,7.673419275629221e-05
Algeria,South Africa,0.0002251745102454402
South Africa,Algeria,0.0001662418264435332
Algeria,Spain,0.11791638519852884
Spain,Algeria,0.003551847706899085
Algeria,Sweden,0.00015011634016362684
Sweden,Algeria,1.2797993274654537e-05
Algeria,Switzerland,0.01613750656758988
Switzerland,Algeria,0.0008129635546547832
Algeria,Tunisia,0.00041281993544997375
Tunisia,Algeria,0.0008162659542891073
Algeria,Turkey,0.03854237033701119
Turkey,Algeria,0.00532891937609614
Algeria,United Arab Emirates,0.032350071305261574
United Arab Emirates,Algeria,0.002235506165795718
Algeria,United Kingdom,0.031862193199729785
United Kingdom,Algeria,0.00045059939272576574
Algeria,United States,0.0005629362756136005
United States,Algeria,1.2118382050575665e-05
Anguilla,Puerto Rico,1.0
Puerto Rico,Anguilla,9.443762394938144e-05
Argentina,Aruba,4.158955270436065e-05
Aruba,Argentina,0.0004655493482309125
Argentina,Australia,0.0025369627149660003
Australia,Argentina,0.0006746257762343719
Argentina,Austria,4.158955270436065e-05
Austria,Argentina,5.699239721421162e-06
Argentina,Belgium,0.000769406725030672
Belgium,Argentina,0.00013532096670372748
Argentina,Bermuda,4.158955270436065e-05
Bermuda,Argentina,0.00023929169657812882
Argentina,Bolivia,0.018216224084509968
Bolivia,Argentina,0.19783197831978322
Argentina,Brazil,0.369939071305288
Brazil,Argentina,0.18054498401583202
Argentina,Canada,0.013870115826904277
Canada,Argentina,0.001356463027739364
Argentina,Cape Verde,8.31791054087213e-05
Cape Verde,Argentina,0.0019870839542970686
Argentina,Chile,0.04535340722410529
Chile,Argentina,0.20836916021782756
Argentina,Colombia,0.003472727650814115
Colombia,Argentina,0.020420640743458063
Argentina,Costa Rica,0.0010605335939611964
Costa Rica,Argentina,0.006727344677483181
Argentina,Czech Republic,0.00012476865811308197
Czech Republic,Argentina,3.7650602409638564e-05
Argentina,Dominican Republic,0.0003535111979870656
Dominican Republic,Argentina,0.019744483159117313
Argentina,Ecuador,0.0035351119798706556
Ecuador,Argentina,0.06471259992386755
Argentina,France,0.020316496496080177
France,Argentina,0.0010564766234271799
Argentina,Germany,0.020274906943375817
Germany,Argentina,0.0005706112387589585
Argentina,Greece,8.31791054087213e-05
Greece,Argentina,1.9386983579224903e-05
Argentina,Hong Kong,0.0002287425398739836
Hong Kong,Argentina,4.889062722230123e-05
Argentina,Italy,0.037409802657572405
Italy,Argentina,0.0017973230975499859
Argentina,Japan,6.238432905654099e-05
Japan,Argentina,1.3455026573677484e-05
Argentina,Malta,4.158955270436065e-05
Malta,Argentina,3.645311218445273e-05
Argentina,Mexico,0.012622429245773458
Mexico,Argentina,0.009505465251025715
Argentina,Morocco,0.00010397388176090161
Morocco,Argentina,0.00021242246579998306
Argentina,Netherlands,0.017488406912183653
Netherlands,Argentina,0.001376436584080471
Argentina,New Zealand,0.007922809790180703
New Zealand,Argentina,0.005640851013428484
Argentina,Panama,0.0021210671879223933
Panama,Argentina,0.026452282157676348
Argentina,Peru,0.001850735095344049
Peru,Argentina,0.09877913429522751
Argentina,Poland,0.00016635821081744263
Poland,Argentina,2.5391182911733904e-05
Argentina,Portugal,0.00018715298716962298
Portugal,Argentina,2.7449066731731134e-05
Argentina,Puerto Rico,0.0003951007506914262
Puerto Rico,Argentina,0.0008971574275191236
Argentina,Qatar,0.00014556343446526224
Qatar,Argentina,4.662563610689261e-05
Argentina,Reunion,0.00012476865811308194
Reunion,Argentina,0.01764705882352941
Argentina,Russia,0.0003743059743392459
Russia,Argentina,5.04091543024213e-05
Argentina,Saudi Arabia,6.238432905654099e-05
Saudi Arabia,Argentina,3.8292658021035445e-05
Argentina,Senegal,0.0008525858304393935
Senegal,Argentina,0.0028007377553111563
Argentina,South Africa,0.00016635821081744263
South Africa,Argentina,0.00022165576859137768
Argentina,South Korea,0.00012476865811308197
South Korea,Argentina,2.9131304499815515e-05
Argentina,Spain,0.11310278857950878
Spain,Argentina,0.006148472208091701
Argentina,Switzerland,0.00384703362515336
Switzerland,Argentina,0.00034976338979333704
Argentina,Turkey,6.238432905654099e-05
Turkey,Argentina,1.5566463610796905e-05
Argentina,United Arab Emirates,0.00012476865811308194
United Arab Emirates,Argentina,1.5560367743357664e-05
Argentina,United Kingdom,0.03503919815342385
United Kingdom,Argentina,0.0008942991481070852
Argentina,United States,0.2222129800993989
United States,Argentina,0.008633135372830104
Argentina,Uruguay,0.0411112728482605
Uruguay,Argentina,0.3029885057471265
Argentina,Venezuela,0.0008109962777350327
Venezuela,Argentina,0.08405172413793106
Armenia,Austria,0.021532615579480684
Austria,Armenia,9.688707526415975e-05
Armenia,Belarus,0.0018999366687777075
Belarus,Armenia,0.0019108280254777074
Armenia,Belgium,0.0018999366687777075
Belgium,Armenia,1.0971970273275203e-05
Armenia,Czech Republic,0.001266624445851805
Czech Republic,Armenia,1.2550200803212854e-05
Armenia,France,0.01899936668777707
France,Armenia,3.2440428559688226e-05
Armenia,Germany,0.001266624445851805
Germany,Armenia,1.1704845923260688e-06
