,source,target,prob
0,Algeria,Argentina,0.0003002326803272537
1,Argentina,Algeria,0.00016639281183052892
2,Algeria,Austria,0.007768520603467687
3,Austria,Algeria,0.0005927835051546391
4,Algeria,Belgium,0.01685055918336711
5,Belgium,Algeria,0.0016427269999926826
6,Algeria,Brazil,0.0012009307213090145
7,Brazil,Algeria,0.00032555726247036925
8,Algeria,Canada,0.01478645950611724
9,Canada,Algeria,0.000809395562293671
10,Algeria,France,0.5530285971628013
11,France,Algeria,0.01599421707460821
12,Algeria,Germany,0.035990392554229526
13,Germany,Algeria,0.0005618991370541718
14,Algeria,Greece,0.00037529085040906697
15,Greece,Algeria,4.847239254882381e-05
16,Algeria,Hungary,0.002176686932372589
17,Hungary,Algeria,0.0004288735414602405
18,Algeria,India,0.00041281993544997375
19,India,Algeria,5.3661939537629215e-05
20,Algeria,Indonesia,0.0005629362756136006
21,Indonesia,Algeria,0.00047134238310708883
22,Algeria,Israel,0.0002251745102454402
23,Israel,Algeria,5.057998381440518e-05
24,Algeria,Italy,0.06252345567815057
25,Italy,Algeria,0.0016655786086120213
26,Algeria,Japan,7.50581700818134e-05
27,Japan,Algeria,1.1574007094866354e-05
28,Algeria,Jordan,7.50581700818134e-05
29,Jordan,Algeria,0.00035229874933943975
30,Algeria,Kazakhstan,7.50581700818134e-05
31,Kazakhstan,Algeria,9.240436148586215e-05
32,Algeria,Lebanon,0.004353373864745178
33,Lebanon,Algeria,0.004206861536229783
34,Algeria,Luxembourg,0.00011258725512272012
35,Luxembourg,Algeria,4.0555886010923056e-05
36,Algeria,Malaysia,0.00018764542520453349
37,Malaysia,Algeria,3.89268642075269e-05
38,Algeria,Mali,0.0013135179764317345
39,Mali,Algeria,0.04441624365482233
40,Algeria,Malta,0.00026270359528634694
41,Malta,Algeria,0.00012760449897004933
42,Algeria,Mauritania,0.0008256398708999475
43,Mauritania,Algeria,0.09166666666666667
44,Algeria,Morocco,0.008931922239735796
45,Morocco,Algeria,0.01011216859279402
46,Algeria,Norway,0.00011258725512272012
47,Norway,Algeria,1.8022347711161846e-05
48,Algeria,Pakistan,0.00011258725512272012
49,Pakistan,Algeria,0.0013071895424836603
50,Algeria,Philippines,0.000375290850409067
51,Philippines,Algeria,0.00011744257058298493
52,Algeria,Portugal,0.007017938902649553
53,Portugal,Algeria,0.0005706177623849992
54,Algeria,Qatar,0.018126548074757935
55,Qatar,Algeria,0.0032171688913755912
56,Algeria,Russia,0.0032650303985588833
57,Russia,Algeria,0.00024404953925130077
58,Algeria,Saudi Arabia,0.0034151467387225094
59,Saudi Arabia,Algeria,0.0011617219016493898
60,Algeria,Senegal,0.01579974480222172
61,Senegal,Algeria,0.028772553307818485
62,Algeria,Serbia,7.50581700818134e-05
63,Serbia,Algeria,7.674008134448623e-05
64,Algeria,South Africa,0.0002251745102454402
65,South Africa,Algeria,0.00016633860996368279
66,Algeria,Spain,0.11791638519852884
67,Spain,Algeria,0.003552626818148925
68,Algeria,Sweden,0.00015011634016362684
69,Sweden,Algeria,1.28038104139792e-05
70,Algeria,Switzerland,0.01613750656758988
71,Switzerland,Algeria,0.0008134803147222907
72,Algeria,Tunisia,0.00041281993544997375
73,Tunisia,Algeria,0.0008162659542891073
74,Algeria,Turkey,0.03854237033701119
75,Turkey,Algeria,0.005342447225776919
76,Algeria,United Arab Emirates,0.032350071305261574
77,United Arab Emirates,Algeria,0.002246441397067638
78,Algeria,United Kingdom,0.031862193199729785
79,United Kingdom,Algeria,0.0004566868311743361
80,Algeria,United States,0.0005629362756136005
81,United States,Algeria,1.2385301784391712e-05
82,Argentina,Aruba,4.1598202957632224e-05
83,Aruba,Argentina,0.0006441223832528181
84,Argentina,Australia,0.002537490380415566
85,Australia,Argentina,0.0006949349495317737
86,Argentina,Austria,4.1598202957632224e-05
87,Austria,Argentina,5.727376861397479e-06
88,Argentina,Belgium,0.0007695667547161962
89,Belgium,Argentina,0.00013536948552278228
90,Argentina,Bermuda,4.1598202957632224e-05
91,Bermuda,Argentina,0.00023937761819269905
92,Argentina,Bolivia,0.01822001289544292
93,Bolivia,Argentina,0.19810040705563092
94,Argentina,Brazil,0.3700160153081387
95,Brazil,Argentina,0.18098949060462094
96,Argentina,Canada,0.013873000686370346
97,Canada,Argentina,0.0013702204062179659
98,Argentina,Cape Verde,8.319640591526445e-05
99,Cape Verde,Argentina,0.0019870839542970686
100,Argentina,Chile,0.04536284032529794
101,Chile,Argentina,0.20858837031369554
102,Argentina,China,0.00022879011626697726
103,China,Argentina,4.6594177422155955e-05
104,Argentina,Colombia,0.003473449946962291
105,Colombia,Argentina,0.020561438069441027
106,Argentina,Costa Rica,0.0010607541754196217
107,Costa Rica,Argentina,0.006727344677483181
108,Argentina,Czech Republic,0.0001247946088728967
109,Czech Republic,Argentina,3.766170996717156e-05
110,Argentina,Dominican Republic,0.000353584725139874
111,Dominican Republic,Argentina,0.019744483159117313
112,Argentina,Ecuador,0.0035358472513987394
113,Ecuador,Argentina,0.06483600305110604
114,Argentina,France,0.02032072214480334
115,France,Argentina,0.0010604200652749875
116,Argentina,Germany,0.02027912394184571
117,Germany,Argentina,0.0005712738880373489
118,Argentina,Greece,8.319640591526445e-05
119,Greece,Argentina,1.9388957019529523e-05
120,Argentina,Italy,0.03741758356039018
121,Italy,Argentina,0.001798544968123065
122,Argentina,Japan,6.239730443644835e-05
123,Japan,Argentina,1.7361010642299533e-05
124,Argentina,Malta,4.1598202957632224e-05
125,Malta,Argentina,3.645842827715695e-05
126,Argentina,Mexico,0.012625054597641381
127,Mexico,Argentina,0.00950576296667502
128,Argentina,Morocco,0.00010399550739408055
129,Morocco,Argentina,0.00021244051665533653
130,Argentina,Netherlands,0.01749204434368435
131,Netherlands,Argentina,0.0013837585250878214
132,Argentina,New Zealand,0.00792445766342894
133,New Zealand,Argentina,0.005689284434356709
134,Argentina,Panama,0.0021215083508392438
135,Panama,Argentina,0.02647287827666753
136,Argentina,Peru,0.001851120031614634
137,Peru,Argentina,0.09877913429522751
138,Argentina,Poland,0.00016639281183052892
139,Poland,Argentina,2.539295599400726e-05
140,Argentina,Portugal,0.00018719191330934505
141,Portugal,Argentina,2.7462886959705855e-05
142,Argentina,Puerto Rico,0.0003951829280975061
143,Puerto Rico,Argentina,0.0008998768589561428
